# Failure is Not an Option — dialogue sheet · content 0.5.4 · fingerprint 972c425aa13fb98ce282c0a13f9ea0d1b23721e741fa48ad7dc0d6b493a130bf · 861 strings · generated by npm run dialogue-sheet from content/ and app/ (never edit by hand)
order,phase,node,kind,speaker,branch,id,text,notes
1,opening,opening-start,ui.button,,,app,BEGIN,
2,opening,opening-start,ui.button,,,app,SKIP TO MENU,
3,opening,opening-start,ui.button,,,app,SOUND: OFF,
4,opening,opening-start,ui.text,,,app,Volume,
5,opening,opening-start,ui.aria,,,app,Master volume,
6,opening,opening-start,notice,,,registry.notices.dedication,"To the men and women of NASA, whose bravery, sacrifice, and vision embody the best of humanity.",
7,opening,opening-start,notice,,,registry.notices.dedication,"To those who journeyed beyond our world, and to all whose work made those journeys possible.",
8,opening,opening-start,notice,,,registry.notices.project_disclaimer,"Failure is Not an Option is an independent homage to NASA and the people of the space program, created for appreciation and exploration, not for profit. It is not affiliated with, authorized, sponsored, or endorsed by NASA.",
9,opening,opening-start,notice,,,registry.notices.ai_disclosure,"This project was created using generative AI within a human-in-the-loop process, with human creative direction, review, and final decision-making.",
10,opening,opening-start,notice,,,registry.notices.dramatization,"Inspired by real missions and people, this game includes fictional dialogue, simplified systems, and alternate historical outcomes. These elements do not represent the actual words, beliefs, or actions of the people portrayed. NASA is not responsible for the game's interpretations, generated content, or accuracy.",
11,opening,opening-start,label,,,gemini-8,Gemini VIII,
12,opening,opening-start,label,,,gemini-8,The Weight of the Call,
13,opening,opening-start,label,,,mission.start_notice,A historical mission with fictional return decisions and alternate outcomes.,
14,opening,opening-start,credits.heading,,,registry.credits.0,Sources,
15,opening,opening-start,credits.line,,,registry.credits.0,Gemini's First Docking Turns to Wild Ride in Orbit,
16,opening,opening-start,credits.line,,,registry.credits.0,"55 Years Ago: Gemini VIII, the First Docking in Space",
17,opening,opening-start,credits.line,,,registry.credits.0,"Project Gemini: A Chronology, Part III(B), March 16 entry",
18,opening,opening-start,credits.line,,,registry.credits.0,Gemini VIII mission overview,
19,opening,opening-start,credits.line,,,registry.credits.0,"'Tumbling End Over End': The Trauma of Gemini VIII (Part 2), March 16, 2014",
20,opening,opening-start,credits.line,,,registry.credits.0,"Gemini Program Mission Report, Gemini VIII (MSC-G-R-66-4), 29 April 1966",
21,opening,opening-start,credits.line,,,registry.credits.0,"Gemini VIII voice communications: air-to-ground, ground-to-air and onboard transcription",
22,opening,opening-start,credits.line,,,registry.credits.0,"Failure Is Not an Option — publisher excerpt, Chapter One: The Four-Inch Flight",
23,opening,opening-start,credits.line,,,registry.credits.0,Gemini: Bridge to the Moon,
24,opening,opening-start,credits.line,,,registry.credits.0,50 Years Ago: The Manned Spacecraft Center Renamed NASA’s Johnson Space Center,
25,opening,opening-start,credits.heading,,,registry.credits.1,Music,
26,opening,opening-start,credits.line,,,registry.credits.1,"Dan Lee-Odinson, produced with Suno Pro, instrumental.",
27,opening,opening-start,credits.line,,,registry.credits.1,Orbit of Hope · Orbit of Hope (refrain) · Mission in Danger Drum Background · Per Aspera · Disaster and Loss · Mission in Danger,
28,opening,opening-start,credits.heading,,,registry.credits.2,Sound,
29,opening,opening-start,credits.line,,,registry.credits.2,Room Tone – Empty room with AC & desktop computer running — seventhsamurai — freesound.org — CC0 1.0,
30,opening,opening-start,credits.line,,,registry.credits.2,Typing Office chatter in background — SduggySounds — freesound.org — CC0 1.0,
31,opening,opening-start,credits.line,,,registry.credits.2,SWITCH BUTTON PRESSING.wav — EricsSoundschmiede — freesound.org — CC0 1.0,
32,opening,opening-start,credits.line,,,registry.credits.2,"130111 light switches, clicks, dimmer slides, hotel London ON — TRP — freesound.org — CC0 1.0",
33,opening,opening-start,credits.line,,,registry.credits.2,Paper Rustling 01.wav — swidmark — freesound.org — CC0 1.0,
34,opening,opening-start,credits.line,,,registry.credits.2,End radio transmission — ReadeOnly — freesound.org — CC0 1.0,
35,opening,opening-start,credits.line,,,registry.credits.2,"Beep 8 count (loopable) by JonNicholas, freesound.org, CC BY 3.0",
36,opening,opening-start,credits.line,,,registry.credits.2,Quindar tones generated for this project.,
37,opening,opening-start,credits.heading,,,registry.credits.3,Type,
38,opening,opening-start,credits.line,,,registry.credits.3,Barlow and Barlow Condensed — Barlow Project Authors — SIL Open Font License 1.1.,
39,opening,opening-start,credits.line,,,registry.credits.3,Chakra Petch — Chakra Petch Project Authors — SIL Open Font License 1.1.,
40,opening,opening-start,credits.heading,,,registry.credits.4,Archive,
41,opening,opening-start,credits.line,,,registry.credits.4,"Gemini VIII, Atlas-Agena lift-off, 16 March 1966 — NASA photograph S66-24482 (Johnson Space Center)",
42,opening,opening-start,credits.line,,,registry.credits.4,Apollo 11 crew walkout — Michael Collins NASA TV video file (NASA Headquarters),
43,opening,opening-start,credits.line,,,registry.credits.4,"Apollo 11 launch, 16 July 1969 — KSC-69-71212 (NASA)",
44,opening,opening-start,credits.line,,,registry.credits.4,Apollo 11 moonwalk — Apollo 11 moonwalk montage (NASA Headquarters),
45,opening,opening-start,credits.line,,,registry.credits.4,"Apollo–Soyuz, 1975 — The Mission of Apollo / Soyuz, National Archives and Records Administration, via Public.Resource.Org, CC0 1.0",
46,opening,opening-start,credits.line,,,registry.credits.4,Skylab — KSC-08-S-00032 (NASA Kennedy Space Center),
47,opening,opening-start,credits.line,,,registry.credits.4,"STS-1, 12 April 1981 — STS-1 Columbia 40th Anniversary (NASA Armstrong Flight Research Center)",
48,opening,opening-start,credits.line,,,registry.credits.4,The Challenger and Columbia crews — NASA Remembers Its Fallen Heroes 2023 (NASA Headquarters),
49,opening,opening-start,credits.line,,,registry.credits.4,International Space Station — ISS@25: Operations (NASA Kennedy Space Center),
50,opening,opening-start,credits.line,,,registry.credits.4,"Atlantis, STS-135, 21 July 2011 — The Shuttle's Last Flight | An end. A new beginning (NASA Headquarters)",
51,opening,opening-start,credits.line,,,registry.credits.4,"Crew Dragon Demo-2, 30 May 2020 — NASA Astronauts Launch from America in Historic Test Flight of SpaceX Crew Dragon (NASA Headquarters)",
52,opening,opening-start,credits.line,,,registry.credits.4,"Artemis II, 1 April 2026 — Artemis II Live Launch Coverage (NASA Kennedy Space Center)",
53,opening,opening-start,credits.line,,,registry.credits.4,Earth — Earth Views from the International Space Station (NASA Headquarters),
54,opening,opening-start,credits.line,,,registry.credits.4,NASA content is generally not subject to copyright and is used under NASA's media usage guidelines.,
55,opening,opening-start,credits.line,,,registry.credits.4,"This project is not affiliated with, authorized, sponsored, or endorsed by NASA.",
56,opening,opening-start,credits.heading,,,registry.credits.5,Made by,
57,opening,opening-start,credits.line,,,registry.credits.5,Directed and written by Dan Lee-Odinson,
58,opening,opening-start,credits.line,,,registry.credits.5,"Art, content and treatments: GPT-6 Astra (Codex)",
59,opening,opening-start,credits.line,,,registry.credits.5,Design review and handoffs: Claude (Cowork),
60,opening,opening-start,credits.line,,,registry.credits.5,Build: Claude Code,
61,opening,opening-start,credits.line,,,registry.credits.5,"Created with generative AI under human direction, review and final decision.",
62,opening,opening-start,credits.line,,,registry.credits.5,"Failure is Not an Option is an independent, non-commercial homage.",
63,opening,opening-start,credits.line,,,registry.credits.5,MIT (code) · CC BY 4.0 (original content) — see LICENSE and LICENSE-CONTENT.,
64,opening,opening-film,ui.aria,,,app,The opening film,
65,opening,opening-film,ui.button,,,app,SKIP FILM,
66,opening,opening-credits,ui.aria,,,app,Credits,
67,opening,opening-credits,ui.button,,,app,PAUSE,
68,opening,opening-credits,ui.button,,,app,CONTINUE,
69,opening,opening-credits,ui.button,,,app,RESUME,
70,opening,opening-title,ui.aria,,,app,Failure is Not an Option,
71,opening,opening-title,ui.heading,,,app,FAILURE,
72,opening,opening-title,ui.heading,,,app,IS NOT AN,
73,opening,opening-title,ui.heading,,,app,OPTION,
74,opening,opening-title,ui.button,,,app,CONTINUE →,
75,opening,opening-menu,ui.text,,,app,DEMO,
76,opening,opening-menu,ui.aria,,,app,Main menu,
